Person_ID,Gender,Age,Age_Group,Education,Occupation,Monthly_Income,Place
JMD00062,Male,61,Old,Uneducated,Businessman,19874,Jamaldi
JMD00063,Male,5,Children,Uneducated,Student,0,Jamaldi
JMD00064,Female,36,Mid-aged,Educated,Employee,14585,Jamaldi
JMD00065,Female,17,Young,Uneducated,Student,430,Jamaldi
JMD00066,Male,49,Old,Educated,Farmer,15971,Jamaldi
JMD00067,Female,37,Mid-aged,Educated,Businessman,37579,Jamaldi
JMD00068,Female,10,Children,Uneducated,Student,0,Jamaldi
JMD00069,Female,23,Young,Educated,Student,13869,Jamaldi
JMD00070,Female,16,Young,Uneducated,Employee,17389,Jamaldi
JMD00071,Female,27,Mid-aged,Educated,Farmer,15622,Jamaldi
JMD00072,Male,37,Mid-aged,Uneducated,Businessman,10684,Jamaldi
JMD00073,Male,40,Mid-aged,Uneducated,Farmer,16827,Jamaldi
JMD00074,Female,10,Children,Educated,Student,0,Jamaldi
JMD00075,Male,9,Children,Uneducated,Student,0,Jamaldi
JMD00076,Female,38,Mid-aged,Educated,Farmer,33751,Jamaldi
JMD00077,Male,39,Mid-aged,Educated,Farmer,18308,Jamaldi
JMD00078,Male,21,Young,Educated,Employee,21503,Jamaldi
JMD00079,Male,18,Young,Uneducated,Employee,20806,Jamaldi
JMD00080,Female,2,Children,Educated,Student,0,Jamaldi
JMD00081,Male,25,Young,Educated,Employee,21757,Jamaldi
JMD00082,Female,19,Young,Educated,Employee,21027,Jamaldi
JMD00083,Female,58,Old,Educated,Farmer,10269,Jamaldi
JMD00084,Female,41,Old,Educated,Businessman,19828,Jamaldi
JMD00085,Female,11,Children,Educated,Student,0,Jamaldi
JMD00086,Male,63,Old,Uneducated,Farmer,16705,Jamaldi
JMD00087,Female,56,Old,Educated,Businessman,17259,Jamaldi
JMD00088,Female,16,Young,Educated,Student,15971,Jamaldi
JMD00089,Female,33,Mid-aged,Educated,Farmer,32497,Jamaldi
JMD00090,Female,24,Young,Educated,Student,11068,Jamaldi
JMD00091,Male,25,Young,Educated,Student,4760,Jamaldi
JMD00092,Female,55,Old,Educated,Businessman,25724,Jamaldi
JMD00093,Female,57,Old,Educated,Farmer,20628,Jamaldi
JMD00094,Male,40,Mid-aged,Uneducated,Businessman,19130,Jamaldi
JMD00095,Female,9,Children,Educated,Student,0,Jamaldi
JMD00096,Male,19,Young,Uneducated,Employee,18358,Jamaldi
JMD00097,Female,2,Children,Educated,Student,0,Jamaldi
JMD00098,Male,10,Children,Uneducated,Student,0,Jamaldi
JMD00099,Female,40,Mid-aged,Educated,Employee,22040,Jamaldi
JMD00100,Female,28,Mid-aged,Educated,Businessman,26071,Jamaldi
JMD00101,Male,9,Children,Uneducated,Student,0,Jamaldi
JMD00102,Male,40,Mid-aged,Educated,Businessman,11649,Jamaldi
JMD00103,Female,11,Children,Educated,Student,0,Jamaldi
JMD00104,Female,33,Mid-aged,Educated,Farmer,35152,Jamaldi
JMD00105,Female,22,Young,Educated,Employee,21866,Jamaldi
JMD00106,Male,12,Children,Uneducated,Student,0,Jamaldi
JMD00107,Female,35,Mid-aged,Educated,Businessman,20556,Jamaldi
JMD00108,Female,27,Mid-aged,Educated,Businessman,15137,Jamaldi
JMD00109,Male,9,Children,Educated,Student,0,Jamaldi
JMD00110,Male,0,Children,Educated,Student,0,Jamaldi
JMD00111,Male,60,Old,Educated,Businessman,10831,Jamaldi
JMD00112,Male,9,Children,Uneducated,Student,0,Jamaldi
JMD00113,Female,18,Young,Educated,Employee,16190,Jamaldi
JMD00114,Female,30,Mid-aged,Uneducated,Businessman,27557,Jamaldi
JMD00115,Female,31,Mid-aged,Uneducated,Businessman,25199,Jamaldi
JMD00116,Male,23,Young,Educated,Employee,21551,Jamaldi
JMD00117,Female,38,Mid-aged,Educated,Employee,25237,Jamaldi
JMD00118,Female,46,Old,Educated,Businessman,26152,Jamaldi
JMD00119,Male,13,Young,Uneducated,Student,224,Jamaldi
JMD00120,Female,18,Young,Educated,Student,16799,Jamaldi
JMD00121,Female,8,Children,Educated,Student,0,Jamaldi
JMD00122,Male,3,Children,Educated,Student,0,Jamaldi
JMD00123,Female,21,Young,Educated,Employee,16739,Jamaldi
JMD00124,Male,55,Old,Educated,Farmer,10135,Jamaldi
JMD00125,Male,22,Young,Uneducated,Student,9274,Jamaldi
JMD00126,Male,5,Children,Uneducated,Student,0,Jamaldi
JMD00127,Male,46,Old,Educated,Farmer,27264,Jamaldi
JMD00128,Female,30,Mid-aged,Educated,Businessman,27181,Jamaldi
JMD00129,Female,8,Children,Educated,Student,0,Jamaldi
JMD00130,Female,47,Old,Educated,Farmer,24490,Jamaldi
JMD00131,Female,56,Old,Uneducated,Farmer,26187,Jamaldi
JMD00132,Female,22,Young,Uneducated,Student,7139,Jamaldi
JMD00133,Male,40,Mid-aged,Educated,Businessman,13712,Jamaldi
JMD00134,Male,46,Old,Educated,Farmer,14088,Jamaldi
JMD00135,Male,8,Children,Uneducated,Student,0,Jamaldi
JMD00136,Male,28,Mid-aged,Uneducated,Businessman,18662,Jamaldi
JMD00137,Male,23,Young,Uneducated,Student,2363,Jamaldi
JMD00138,Female,36,Mid-aged,Educated,Employee,10346,Jamaldi
JMD00139,Female,15,Young,Educated,Student,5895,Jamaldi
JMD00140,Female,22,Young,Educated,Employee,18125,Jamaldi
JMD00141,Male,15,Young,Educated,Employee,16107,Jamaldi
JMD00142,Female,24,Young,Educated,Employee,16899,Jamaldi
JMD00143,Male,5,Children,Educated,Student,0,Jamaldi
JMD00144,Male,3,Children,Educated,Student,0,Jamaldi
JMD00145,Male,8,Children,Educated,Student,0,Jamaldi
JMD00146,Female,41,Old,Educated,Farmer,14516,Jamaldi
JMD00147,Female,49,Old,Educated,Farmer,19269,Jamaldi
JMD00148,Male,24,Young,Uneducated,Student,8254,Jamaldi
JMD00149,Male,5,Children,Educated,Student,0,Jamaldi
JMD00150,Female,53,Old,Uneducated,Businessman,21888,Jamaldi
JMD00151,Male,44,Old,Educated,Businessman,21639,Jamaldi
JMD00152,Female,2,Children,Educated,Student,0,Jamaldi
JMD00153,Male,14,Young,Uneducated,Student,17335,Jamaldi
JMD00154,Female,0,Children,Educated,Student,0,Jamaldi
JMD00155,Female,30,Mid-aged,Educated,Employee,23660,Jamaldi
JMD00156,Female,14,Young,Educated,Employee,18418,Jamaldi
JMD00157,Male,32,Mid-aged,Educated,Businessman,13502,Jamaldi
JMD00158,Male,3,Children,Educated,Student,0,Jamaldi
JMD00159,Female,48,Old,Educated,Businessman,21337,Jamaldi
JMD00160,Female,9,Children,Educated,Student,0,Jamaldi
JMD00161,Female,22,Young,Educated,Student,8308,Jamaldi
JMD00162,Male,5,Children,Uneducated,Student,0,Jamaldi
JMD00163,Male,26,Mid-aged,Educated,Businessman,27459,Jamaldi
JMD00164,Female,29,Mid-aged,Uneducated,Farmer,39502,Jamaldi
JMD00165,Female,20,Young,Educated,Employee,17983,Jamaldi
JMD00166,Male,12,Children,Educated,Student,0,Jamaldi
JMD00167,Female,18,Young,Educated,Student,6811,Jamaldi
JMD00168,Male,33,Mid-aged,Uneducated,Employee,29690,Jamaldi
JMD00169,Female,12,Children,Uneducated,Student,0,Jamaldi
JMD00170,Female,8,Children,Educated,Student,0,Jamaldi
JMD00171,Female,23,Young,Uneducated,Student,8967,Jamaldi
JMD00172,Male,7,Children,Uneducated,Student,0,Jamaldi
JMD00173,Male,18,Young,Uneducated,Employee,21885,Jamaldi
JMD00174,Female,35,Mid-aged,Educated,Employee,14462,Jamaldi
JMD00175,Female,56,Old,Educated,Businessman,12252,Jamaldi
JMD00176,Female,14,Young,Educated,Employee,15023,Jamaldi
JMD00177,Male,17,Young,Educated,Student,15503,Jamaldi
JMD00178,Female,23,Young,Educated,Student,17758,Jamaldi
JMD00179,Male,13,Young,Uneducated,Employee,18417,Jamaldi
JMD00180,Female,32,Mid-aged,Uneducated,Farmer,30033,Jamaldi
JMD00181,Male,65,Old,Educated,Farmer,28021,Jamaldi
JMD00182,Male,60,Old,Educated,Businessman,23699,Jamaldi
JMD00183,Male,12,Children,Educated,Student,0,Jamaldi
JMD00184,Female,61,Old,Educated,Businessman,17896,Jamaldi
JMD00185,Female,24,Young,Uneducated,Employee,21461,Jamaldi
JMD00186,Female,0,Children,Educated,Student,0,Jamaldi
JMD00187,Male,25,Young,Uneducated,Employee,19626,Jamaldi
JMD00188,Female,42,Old,Uneducated,Farmer,27087,Jamaldi
JMD00189,Male,45,Old,Educated,Farmer,20033,Jamaldi
JMD00190,Male,12,Children,Uneducated,Student,0,Jamaldi
JMD00191,Male,47,Old,Educated,Businessman,27870,Jamaldi
JMD00192,Male,40,Mid-aged,Educated,Businessman,38233,Jamaldi
JMD00193,Male,15,Young,Uneducated,Employee,16607,Jamaldi
JMD00194,Female,62,Old,Educated,Farmer,21124,Jamaldi
JMD00195,Male,41,Old,Educated,Businessman,18968,Jamaldi
JMD00196,Male,2,Children,Uneducated,Student,0,Jamaldi
JMD00197,Female,20,Young,Educated,Student,985,Jamaldi
JMD00198,Female,39,Mid-aged,Uneducated,Farmer,20154,Jamaldi
JMD00199,Female,17,Young,Uneducated,Student,13823,Jamaldi
JMD00200,Male,7,Children,Uneducated,Student,0,Jamaldi
JMD00201,Male,9,Children,Educated,Student,0,Jamaldi
JMD00202,Male,64,Old,Educated,Businessman,11388,Jamaldi
JMD00203,Male,44,Old,Uneducated,Businessman,12715,Jamaldi
JMD00204,Male,49,Old,Educated,Businessman,17502,Jamaldi
JMD00205,Male,10,Children,Educated,Student,0,Jamaldi
JMD00206,Female,63,Old,Uneducated,Farmer,14657,Jamaldi
JMD00207,Male,56,Old,Uneducated,Farmer,28277,Jamaldi
JMD00208,Female,63,Old,Educated,Businessman,28049,Jamaldi
JMD00209,Male,60,Old,Uneducated,Farmer,12094,Jamaldi
JMD00210,Female,28,Mid-aged,Uneducated,Businessman,21483,Jamaldi
JMD00211,Male,5,Children,Uneducated,Student,0,Jamaldi
JMD00212,Male,15,Young,Educated,Student,4639,Jamaldi
JMD00213,Female,17,Young,Uneducated,Student,786,Jamaldi
JMD00214,Female,13,Young,Uneducated,Student,2773,Jamaldi
JMD00215,Female,27,Mid-aged,Educated,Businessman,20889,Jamaldi
JMD00216,Male,9,Children,Educated,Student,0,Jamaldi
JMD00217,Female,39,Mid-aged,Educated,Farmer,16267,Jamaldi
JMD00218,Female,3,Children,Educated,Student,0,Jamaldi
JMD00219,Male,32,Mid-aged,Uneducated,Farmer,36792,Jamaldi
JMD00220,Female,49,Old,Uneducated,Businessman,14397,Jamaldi
JMD00221,Male,27,Mid-aged,Uneducated,Farmer,37573,Jamaldi
JMD00222,Female,23,Young,Educated,Employee,20048,Jamaldi
JMD00223,Female,9,Children,Uneducated,Student,0,Jamaldi
JMD00224,Male,21,Young,Educated,Employee,19556,Jamaldi
JMD00225,Male,28,Mid-aged,Uneducated,Employee,10696,Jamaldi
JMD00226,Female,47,Old,Educated,Businessman,27068,Jamaldi
JMD00227,Female,21,Young,Educated,Student,13558,Jamaldi
JMD00228,Female,19,Young,Uneducated,Employee,16374,Jamaldi
JMD00229,Male,42,Old,Educated,Businessman,21605,Jamaldi
JMD00230,Female,36,Mid-aged,Educated,Businessman,39474,Jamaldi
JMD00231,Male,18,Young,Uneducated,Student,14505,Jamaldi
JMD00232,Male,11,Children,Uneducated,Student,0,Jamaldi
JMD00233,Female,62,Old,Uneducated,Businessman,26189,Jamaldi
JMD00234,Male,24,Young,Educated,Employee,17500,Jamaldi
JMD00235,Female,16,Young,Uneducated,Student,8006,Jamaldi
JMD00236,Female,44,Old,Educated,Businessman,10134,Jamaldi
JMD00237,Male,10,Children,Educated,Student,0,Jamaldi
JMD00238,Male,38,Mid-aged,Educated,Employee,23271,Jamaldi
JMD00239,Female,23,Young,Educated,Student,10864,Jamaldi
JMD00240,Male,15,Young,Uneducated,Employee,21933,Jamaldi
JMD00241,Female,0,Children,Educated,Student,0,Jamaldi
JMD00242,Female,16,Young,Uneducated,Employee,19511,Jamaldi
JMD00243,Male,46,Old,Educated,Businessman,28177,Jamaldi
JMD00244,Female,28,Mid-aged,Educated,Farmer,21208,Jamaldi
JMD00245,Female,29,Mid-aged,Uneducated,Businessman,34904,Jamaldi
JMD00246,Female,44,Old,Uneducated,Businessman,10281,Jamaldi
JMD00247,Female,52,Old,Uneducated,Businessman,21835,Jamaldi
JMD00248,Female,65,Old,Educated,Businessman,24060,Jamaldi
JMD00249,Male,54,Old,Uneducated,Farmer,22511,Jamaldi
JMD00250,Male,17,Young,Educated,Employee,18992,Jamaldi
JMD00251,Male,4,Children,Educated,Student,0,Jamaldi
JMD00252,Male,8,Children,Educated,Student,0,Jamaldi
JMD00253,Female,40,Mid-aged,Educated,Farmer,14177,Jamaldi
JMD00254,Female,33,Mid-aged,Educated,Farmer,22143,Jamaldi
JMD00255,Male,24,Young,Educated,Student,11428,Jamaldi
JMD00256,Male,3,Children,Educated,Student,0,Jamaldi
JMD00257,Female,32,Mid-aged,Uneducated,Businessman,30706,Jamaldi
JMD00258,Male,21,Young,Uneducated,Student,5994,Jamaldi
JMD00259,Female,19,Young,Uneducated,Employee,16477,Jamaldi
JMD00260,Female,32,Mid-aged,Uneducated,Businessman,34469,Jamaldi
JMD00261,Male,32,Mid-aged,Educated,Farmer,26788,Jamaldi
JMD00262,Female,8,Children,Uneducated,Student,0,Jamaldi
JMD00263,Female,62,Old,Educated,Farmer,16124,Jamaldi
JMD00264,Male,30,Mid-aged,Educated,Employee,23344,Jamaldi
JMD00265,Female,31,Mid-aged,Educated,Employee,28245,Jamaldi
JMD00266,Male,57,Old,Educated,Farmer,25758,Jamaldi
JMD00267,Female,32,Mid-aged,Educated,Employee,14073,Jamaldi
JMD00268,Male,25,Young,Educated,Employee,21739,Jamaldi
JMD00269,Female,12,Children,Educated,Student,0,Jamaldi
JMD00270,Female,0,Children,Educated,Student,0,Jamaldi
JMD00271,Female,25,Young,Uneducated,Student,3223,Jamaldi
JMD00272,Female,22,Young,Educated,Employee,20356,Jamaldi
JMD00273,Male,11,Children,Educated,Student,0,Jamaldi
JMD00274,Male,3,Children,Educated,Student,0,Jamaldi
JMD00275,Male,5,Children,Educated,Student,0,Jamaldi
JMD00276,Male,32,Mid-aged,Educated,Businessman,22660,Jamaldi
JMD00277,Female,1,Children,Uneducated,Student,0,Jamaldi
JMD00278,Female,8,Children,Uneducated,Student,0,Jamaldi
JMD00279,Female,2,Children,Uneducated,Student,0,Jamaldi
JMD00280,Male,15,Young,Educated,Employee,20253,Jamaldi
JMD00281,Female,44,Old,Educated,Businessman,19279,Jamaldi
JMD00282,Male,37,Mid-aged,Educated,Businessman,25946,Jamaldi
JMD00283,Female,24,Young,Educated,Student,15858,Jamaldi
JMD00284,Female,52,Old,Educated,Businessman,12260,Jamaldi
JMD00285,Male,14,Young,Uneducated,Employee,15762,Jamaldi
JMD00286,Male,35,Mid-aged,Educated,Farmer,17771,Jamaldi
JMD00287,Male,29,Mid-aged,Uneducated,Businessman,25672,Jamaldi
JMD00288,Female,37,Mid-aged,Educated,Businessman,11211,Jamaldi
JMD00289,Female,61,Old,Uneducated,Farmer,16625,Jamaldi
JMD00290,Female,44,Old,Uneducated,Businessman,13840,Jamaldi
JMD00291,Female,17,Young,Uneducated,Student,6244,Jamaldi
JMD00292,Male,19,Young,Uneducated,Employee,15781,Jamaldi
JMD00293,Male,6,Children,Uneducated,Student,0,Jamaldi
JMD00294,Female,30,Mid-aged,Uneducated,Employee,26368,Jamaldi
JMD00295,Female,54,Old,Uneducated,Farmer,23971,Jamaldi
JMD00296,Female,33,Mid-aged,Educated,Employee,17082,Jamaldi
JMD00297,Male,46,Old,Uneducated,Farmer,18611,Jamaldi
JMD00298,Male,64,Old,Educated,Businessman,21280,Jamaldi
JMD00299,Male,37,Mid-aged,Educated,Farmer,25314,Jamaldi
JMD00300,Female,34,Mid-aged,Uneducated,Employee,30053,Jamaldi
JMD00301,Female,62,Old,Educated,Businessman,12322,Jamaldi
JMD00302,Female,23,Young,Educated,Employee,18635,Jamaldi
JMD00303,Male,32,Mid-aged,Uneducated,Businessman,18042,Jamaldi
JMD00304,Female,28,Mid-aged,Educated,Farmer,25412,Jamaldi
JMD00305,Female,47,Old,Uneducated,Businessman,21984,Jamaldi
JMD00306,Female,26,Mid-aged,Educated,Businessman,35709,Jamaldi
JMD00307,Male,27,Mid-aged,Uneducated,Businessman,39602,Jamaldi
JMD00308,Male,3,Children,Uneducated,Student,0,Jamaldi
JMD00309,Female,13,Young,Educated,Student,11939,Jamaldi
JMD00310,Female,12,Children,Educated,Student,0,Jamaldi
JMD00311,Female,9,Children,Educated,Student,0,Jamaldi
JMD00312,Female,14,Young,Educated,Student,6859,Jamaldi
JMD00313,Male,52,Old,Uneducated,Farmer,24812,Jamaldi
JMD00314,Male,50,Old,Uneducated,Businessman,10715,Jamaldi
JMD00315,Female,39,Mid-aged,Uneducated,Employee,32441,Jamaldi
JMD00316,Male,19,Young,Uneducated,Employee,15177,Jamaldi
JMD00317,Female,24,Young,Educated,Employee,18752,Jamaldi
JMD00318,Female,57,Old,Educated,Farmer,16474,Jamaldi
JMD00319,Female,6,Children,Uneducated,Student,0,Jamaldi
JMD00320,Female,35,Mid-aged,Uneducated,Businessman,20400,Jamaldi
JMD00321,Male,28,Mid-aged,Educated,Farmer,29618,Jamaldi
JMD00322,Male,49,Old,Educated,Businessman,24204,Jamaldi
JMD00323,Female,11,Children,Educated,Student,0,Jamaldi
JMD00324,Female,18,Young,Educated,Student,12600,Jamaldi
JMD00325,Female,15,Young,Uneducated,Employee,17396,Jamaldi
JMD00326,Male,15,Young,Educated,Employee,21164,Jamaldi
JMD00327,Male,62,Old,Educated,Farmer,22084,Jamaldi
JMD00328,Male,5,Children,Educated,Student,0,Jamaldi
JMD00329,Female,26,Mid-aged,Educated,Businessman,12063,Jamaldi
JMD00330,Female,4,Children,Educated,Student,0,Jamaldi
JMD00331,Female,32,Mid-aged,Uneducated,Businessman,24772,Jamaldi
JMD00332,Female,64,Old,Educated,Businessman,29306,Jamaldi
JMD00333,Female,23,Young,Uneducated,Student,5039,Jamaldi
JMD00334,Male,20,Young,Educated,Employee,18021,Jamaldi
JMD00335,Male,0,Children,Educated,Student,0,Jamaldi
JMD00336,Male,27,Mid-aged,Uneducated,Employee,22285,Jamaldi
JMD00337,Male,15,Young,Uneducated,Employee,18621,Jamaldi
JMD00338,Male,57,Old,Educated,Farmer,13273,Jamaldi
JMD00339,Male,18,Young,Educated,Employee,15198,Jamaldi
JMD00340,Male,61,Old,Uneducated,Businessman,26412,Jamaldi
JMD00341,Female,24,Young,Uneducated,Employee,20511,Jamaldi
JMD00342,Male,39,Mid-aged,Educated,Farmer,36689,Jamaldi
JMD00343,Female,49,Old,Uneducated,Businessman,25096,Jamaldi
JMD00344,Female,47,Old,Educated,Businessman,19334,Jamaldi
JMD00345,Male,48,Old,Uneducated,Farmer,26285,Jamaldi
JMD00346,Female,11,Children,Uneducated,Student,0,Jamaldi
JMD00347,Female,27,Mid-aged,Educated,Businessman,38049,Jamaldi
JMD00348,Male,16,Young,Uneducated,Employee,18878,Jamaldi
JMD00349,Female,9,Children,Educated,Student,0,Jamaldi
JMD00350,Female,38,Mid-aged,Uneducated,Businessman,37765,Jamaldi
JMD00351,Male,61,Old,Uneducated,Farmer,13319,Jamaldi
JMD00352,Female,13,Young,Educated,Student,13878,Jamaldi
JMD00353,Female,17,Young,Educated,Employee,17696,Jamaldi
JMD00354,Male,0,Children,Educated,Student,0,Jamaldi
JMD00355,Male,35,Mid-aged,Uneducated,Businessman,32822,Jamaldi
JMD00356,Male,5,Children,Uneducated,Student,0,Jamaldi
JMD00357,Male,13,Young,Educated,Student,5822,Jamaldi
JMD00358,Male,7,Children,Educated,Student,0,Jamaldi
JMD00359,Male,46,Old,Uneducated,Farmer,10179,Jamaldi
JMD00360,Female,14,Young,Educated,Student,3680,Jamaldi
JMD00361,Female,16,Young,Uneducated,Employee,16916,Jamaldi
JMD00362,Male,1,Children,Uneducated,Student,0,Jamaldi
JMD00363,Female,9,Children,Educated,Student,0,Jamaldi
JMD00364,Female,13,Young,Educated,Student,11474,Jamaldi
JMD00365,Female,25,Young,Educated,Employee,18046,Jamaldi
JMD00366,Female,6,Children,Uneducated,Student,0,Jamaldi
JMD00367,Female,11,Children,Uneducated,Student,0,Jamaldi
JMD00368,Female,11,Children,Uneducated,Student,0,Jamaldi
JMD00369,Female,25,Young,Uneducated,Employee,17605,Jamaldi
JMD00370,Female,36,Mid-aged,Uneducated,Businessman,33878,Jamaldi
JMD00371,Male,48,Old,Uneducated,Farmer,22172,Jamaldi
JMD00372,Male,18,Young,Educated,Employee,17338,Jamaldi
JMD00373,Female,62,Old,Educated,Businessman,15658,Jamaldi
JMD00374,Female,8,Children,Uneducated,Student,0,Jamaldi
JMD00375,Female,11,Children,Uneducated,Student,0,Jamaldi
JMD00376,Male,15,Young,Educated,Employee,18343,Jamaldi
JMD00377,Male,11,Children,Educated,Student,0,Jamaldi
JMD00378,Female,19,Young,Uneducated,Student,15677,Jamaldi
JMD00379,Male,17,Young,Uneducated,Student,4426,Jamaldi
JMD00380,Female,19,Young,Educated,Student,14836,Jamaldi
JMD00381,Female,37,Mid-aged,Educated,Employee,22769,Jamaldi
JMD00382,Female,4,Children,Educated,Student,0,Jamaldi
JMD00383,Female,55,Old,Uneducated,Businessman,19011,Jamaldi
JMD00384,Male,4,Children,Uneducated,Student,0,Jamaldi
JMD00385,Male,36,Mid-aged,Educated,Farmer,38218,Jamaldi
JMD00386,Female,17,Young,Uneducated,Student,8370,Jamaldi
JMD00387,Female,39,Mid-aged,Educated,Businessman,25237,Jamaldi
JMD00388,Male,37,Mid-aged,Educated,Farmer,21117,Jamaldi
JMD00389,Female,18,Young,Educated,Employee,16724,Jamaldi
JMD00390,Female,55,Old,Uneducated,Businessman,21590,Jamaldi
JMD00391,Male,30,Mid-aged,Educated,Employee,38077,Jamaldi
JMD00392,Female,45,Old,Educated,Farmer,13201,Jamaldi
JMD00393,Female,12,Children,Uneducated,Student,0,Jamaldi
JMD00394,Female,33,Mid-aged,Uneducated,Businessman,22858,Jamaldi
JMD00395,Female,62,Old,Uneducated,Businessman,28723,Jamaldi
JMD00396,Male,8,Children,Educated,Student,0,Jamaldi
JMD00397,Female,41,Old,Educated,Businessman,23082,Jamaldi
JMD00398,Female,10,Children,Uneducated,Student,0,Jamaldi
JMD00399,Female,21,Young,Uneducated,Employee,16484,Jamaldi
JMD00400,Male,40,Mid-aged,Uneducated,Businessman,20991,Jamaldi
JMD00401,Male,43,Old,Uneducated,Businessman,24362,Jamaldi
JMD00402,Male,27,Mid-aged,Educated,Employee,22365,Jamaldi
JMD00403,Female,30,Mid-aged,Educated,Farmer,13972,Jamaldi
JMD00404,Female,0,Children,Educated,Student,0,Jamaldi
JMD00405,Male,37,Mid-aged,Uneducated,Employee,13021,Jamaldi
JMD00406,Male,17,Young,Educated,Student,2708,Jamaldi
JMD00407,Male,39,Mid-aged,Educated,Employee,22113,Jamaldi
JMD00408,Female,7,Children,Uneducated,Student,0,Jamaldi
JMD00409,Male,56,Old,Uneducated,Businessman,14889,Jamaldi
JMD00410,Female,57,Old,Educated,Businessman,21883,Jamaldi
JMD00411,Female,13,Young,Educated,Employee,21481,Jamaldi
JMD00412,Female,36,Mid-aged,Uneducated,Businessman,24998,Jamaldi
JMD00413,Male,35,Mid-aged,Educated,Employee,26284,Jamaldi
JMD00414,Male,39,Mid-aged,Educated,Businessman,29544,Jamaldi
